Year,region,Medal,Medal Count
1896,Australia,Bronze,1
1896,Australia,Gold,2
1896,Australia,Silver,0
1896,Austria,Bronze,2
1896,Austria,Gold,2
1896,Austria,Silver,1
1896,Denmark,Bronze,3
1896,Denmark,Gold,1
1896,Denmark,Silver,2
1896,France,Bronze,2
1896,France,Gold,5
1896,France,Silver,4
1896,Germany,Bronze,2
1896,Germany,Gold,7
1896,Germany,Silver,5
1896,Greece,Bronze,17
1896,Greece,Gold,10
1896,Greece,Silver,17
1896,Hungary,Bronze,3
1896,Hungary,Gold,2
1896,Hungary,Silver,1
1896,Switzerland,Bronze,0
1896,Switzerland,Gold,1
1896,Switzerland,Silver,2
1896,UK,Bronze,3
1896,UK,Gold,3
1896,UK,Silver,3
1896,USA,Bronze,2
1896,USA,Gold,11
1896,USA,Silver,6
1900,Australia,Bronze,3
1900,Australia,Gold,3
1900,Australia,Silver,0
1900,Austria,Bronze,3
1900,Austria,Gold,0
1900,Austria,Silver,3
1900,Belgium,Bronze,5
1900,Belgium,Gold,6
1900,Belgium,Silver,7
1900,Canada,Bronze,1
1900,Canada,Gold,1
1900,Canada,Silver,0
1900,Colombia,Bronze,0
1900,Colombia,Gold,0
1900,Colombia,Silver,1
1900,Cuba,Bronze,0
1900,Cuba,Gold,1
1900,Cuba,Silver,1
1900,Czech Republic,Bronze,2
1900,Czech Republic,Gold,0
1900,Czech Republic,Silver,1
1900,Denmark,Bronze,2
1900,Denmark,Gold,2
1900,Denmark,Silver,3
1900,France,Bronze,34
1900,France,Gold,28
1900,France,Silver,40
1900,Germany,Bronze,1
1900,Germany,Gold,4
1900,Germany,Silver,3
1900,Haiti,Bronze,0
1900,Haiti,Gold,1
1900,Haiti,Silver,0
1900,Hungary,Bronze,2
1900,Hungary,Gold,1
1900,Hungary,Silver,2
1900,India,Bronze,0
1900,India,Gold,0
1900,India,Silver,2
1900,Italy,Bronze,0
1900,Italy,Gold,3
1900,Italy,Silver,2
1900,Luxembourg,Bronze,0
1900,Luxembourg,Gold,1
1900,Luxembourg,Silver,0
1900,Mexico,Bronze,1
1900,Mexico,Gold,0
1900,Mexico,Silver,0
1900,Netherlands,Bronze,4
1900,Netherlands,Gold,1
1900,Netherlands,Silver,2
1900,New Zealand,Bronze,0
1900,New Zealand,Gold,1
1900,New Zealand,Silver,0
1900,Norway,Bronze,3
1900,Norway,Gold,0
1900,Norway,Silver,2
1900,Spain,Bronze,0
1900,Spain,Gold,1
1900,Spain,Silver,0
1900,Sweden,Bronze,1
1900,Sweden,Gold,1
1900,Sweden,Silver,0
1900,Switzerland,Bronze,1
1900,Switzerland,Gold,6
1900,Switzerland,Silver,2
1900,UK,Bronze,12
1900,UK,Gold,19
1900,UK,Silver,11
1900,USA,Bronze,17
1900,USA,Gold,21
1900,USA,Silver,16
1904,Australia,Bronze,1
1904,Australia,Gold,0
1904,Australia,Silver,3
1904,Austria,Bronze,1
1904,Austria,Gold,2
1904,Austria,Silver,1
1904,Canada,Bronze,1
1904,Canada,Gold,4
1904,Canada,Silver,1
1904,Cuba,Bronze,0
1904,Cuba,Gold,4
1904,Cuba,Silver,0
1904,France,Bronze,0
1904,France,Gold,0
1904,France,Silver,2
1904,Germany,Bronze,7
1904,Germany,Gold,4
1904,Germany,Silver,5
1904,Greece,Bronze,1
1904,Greece,Gold,1
1904,Greece,Silver,0
1904,Hungary,Bronze,1
1904,Hungary,Gold,2
1904,Hungary,Silver,1
1904,Norway,Bronze,0
1904,Norway,Gold,2
1904,Norway,Silver,0
1904,Switzerland,Bronze,2
1904,Switzerland,Gold,1
1904,Switzerland,Silver,0
1904,UK,Bronze,0
1904,UK,Gold,1
1904,UK,Silver,1
1904,USA,Bronze,75
1904,USA,Gold,76
1904,USA,Silver,79
1906,Australia,Bronze,3
1906,Australia,Gold,0
1906,Australia,Silver,0
1906,Austria,Bronze,3
1906,Austria,Gold,3
1906,Austria,Silver,3
1906,Belgium,Bronze,3
1906,Belgium,Gold,2
1906,Belgium,Silver,2
1906,Canada,Bronze,0
