,Appearance,Highest,Source,Target,Color,Total Medals
0,1,Bronze,1,4.0,#CD7F32,27
1,1,Bronze,1,5.0,#CD7F32,3
2,1,Bronze,1,6.0,#CD7F32,4
3,1,Bronze,1,7.0,#CD7F32,9
4,1,Gold,3,4.0,#D4AF37,25
5,1,Gold,3,5.0,#D4AF37,13
6,1,Gold,3,6.0,#D4AF37,11
7,1,Gold,3,7.0,#D4AF37,9
8,1,None,0,4.0,#444444,463
9,1,None,0,5.0,#444444,49
10,1,None,0,6.0,#444444,51
11,1,None,0,7.0,#444444,47
12,1,Silver,2,4.0,#C0C0C0,31
13,1,Silver,2,5.0,#C0C0C0,2
14,1,Silver,2,6.0,#C0C0C0,7
15,1,Silver,2,7.0,#C0C0C0,15
16,2,Bronze,5,8.0,#CD7F32,37
17,2,Bronze,5,9.0,#CD7F32,7
18,2,Bronze,5,10.0,#CD7F32,8
19,2,Bronze,5,11.0,#CD7F32,15
20,2,Gold,7,8.0,#D4AF37,30
21,2,Gold,7,9.0,#D4AF37,9
22,2,Gold,7,10.0,#D4AF37,12
23,2,Gold,7,11.0,#D4AF37,29
24,2,None,4,8.0,#444444,398
25,2,None,4,9.0,#444444,55
26,2,None,4,10.0,#444444,47
27,2,None,4,11.0,#444444,46
28,2,Silver,6,8.0,#C0C0C0,40
29,2,Silver,6,9.0,#C0C0C0,6
30,2,Silver,6,10.0,#C0C0C0,13
31,2,Silver,6,11.0,#C0C0C0,14
32,3,Bronze,9,12.0,#CD7F32,55
33,3,Bronze,9,13.0,#CD7F32,8
34,3,Bronze,9,14.0,#CD7F32,10
35,3,Bronze,9,15.0,#CD7F32,4
36,3,Gold,11,12.0,#D4AF37,47
37,3,Gold,11,13.0,#D4AF37,12
38,3,Gold,11,14.0,#D4AF37,16
39,3,Gold,11,15.0,#D4AF37,29
40,3,None,8,12.0,#444444,381
41,3,None,8,13.0,#444444,53
42,3,None,8,14.0,#444444,42
43,3,None,8,15.0,#444444,29
44,3,Silver,10,12.0,#C0C0C0,45
45,3,Silver,10,13.0,#C0C0C0,9
46,3,Silver,10,14.0,#C0C0C0,12
47,3,Silver,10,15.0,#C0C0C0,14
